,video_name,tag
0,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer01_food.mp4,Food
1,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer02_food.mp4,Food
2,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer03_food.mp4,Food
3,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer04_food.mp4,Food
4,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer05_food.mp4,Food
5,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer06_food.mp4,Food
6,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer13_food.mp4,Food
7,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer14_food.mp4,Food
8,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer15_food.mp4,Food
9,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer16_food.mp4,Food
10,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer17_food.mp4,Food
11,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer18_food.mp4,Food
12,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer19_food.mp4,Food
13,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer20_food.mp4,Food
14,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer21_food.mp4,Food
15,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer22_food.mp4,Food
16,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer23_food.mp4,Food
17,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Food/Signer24_food.mp4,Food
18,/FINALEST_CustomDataset10_KFOLDS/CustomDataset10_TRAIN_KFOLD2/Hello/Signer01_hello.mp4,Hello
