,video_name,tag
0,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food01.mp4,Food
1,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food02.mp4,Food
2,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food03.mp4,Food
3,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food04.mp4,Food
4,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food05.mp4,Food
5,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food06.mp4,Food
6,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food07.mp4,Food
7,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food08.mp4,Food
8,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food09.mp4,Food
9,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food10.mp4,Food
10,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food11.mp4,Food
11,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food12.mp4,Food
12,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food19.mp4,Food
13,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food20.mp4,Food
14,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food21.mp4,Food
15,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food22.mp4,Food
16,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food23.mp4,Food
17,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Food/youtube_Food24.mp4,Food
18,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Hello/youtube_Hello01.mp4,Hello
19,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Hello/youtube_Hello02.mp4,Hello
20,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Hello/youtube_Hello03.mp4,Hello
21,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Hello/youtube_Hello04.mp4,Hello
22,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Hello/youtube_Hello05.mp4,Hello
23,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Hello/youtube_Hello06.mp4,Hello
24,/FINALEST_YoutubeDataset10_KFOLDS/YoutubeDataset10_TRAIN_KFOLD3/Hello/youtube_Hello07.mp4,Hello
